trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-155.99844366983126,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,1,-171.92928728241455,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 4}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-202.77091626653842,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,9,-72.37381065761167,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,16,8.761203604024024,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-104.8194104049058,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-149.97196867098512,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-165.22854934524182,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-90.34005416104381,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-75.52221382126187,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-13.776900876532892,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-36.254651095773475,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,13,-23.107346874887263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,14,10.826550816589553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-43.92862973178667,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-66.51510015201994,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-43.21309041095549,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,4,-78.56758783988242,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-12.63459817787822,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,6,-98.5059142840566,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 0}",25,0,-23.669786097951317,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0}",30,0,-81.78631193878897,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 0}",30,0,-29.70442361601133,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 0}",25,0,-152.53347765489121,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 0}",20,5,-3.6782477747225584,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",25,0,-19.26598058125347,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",20,11,-25.73957377891329,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 0}",25,7,-15.876494068390304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 0}",20,0,24.118988741835945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",20,0,11.836565371269636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
