trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",20,0,-196.40602548273705,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.4, 'e': 0.8264462809917354}",20,0,-188.7846451630843,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.6944444444444443}",25,0,-121.60417100521155,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.5917159763313607}",30,0,-112.15965147815743,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.5102040816326527}",25,0,-116.31793789511218,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.4444444444444442}",20,0,-114.81473011024546,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.4, 'e': 0.3906249999999997}",20,0,-103.94248179388197,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.3460207612456745}",20,9,-74.9142039314699,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.4, 'e': 0.30864197530864174}",25,0,-127.57559802694055,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.4, 'e': 0.2770083102493073}",30,0,-121.35587183110334,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.24999999999999978}",25,0,-7.583282057741593,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.2267573696145123}",25,12,-34.25470201009519,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.4, 'e': 0.2066115702479337}",30,0,-182.8829872857914,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 4}",0
14,False,"{'a': 0.4, 'e': 0.1890359168241964}",20,0,-15.367050461237076,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.17361111111111094}",20,0,9.678181251520396,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.1599999999999998}",35,0,-39.39197975459878,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.14792899408284008}",25,0,-41.194755369743824,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.13717421124828516}",20,16,5.059713533176536,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.12755102040816313}",30,6,-9.655291268372416,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': 0.11890606420927455}",20,11,-49.19336917090652,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.11111111111111098}",20,11,-26.11539265928825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.4, 'e': 0.10405827263267417}",25,0,-78.60317503757831,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.09765624999999988}",35,0,-27.172552803705475,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.09182736455463718}",20,0,14.312213322490202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.08650519031141858}",20,0,-5.142054837860321,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.08163265306122439}",30,0,-104.68409135084366,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.4, 'e': 0.07716049382716039}",35,0,-106.89841755253,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 3}",0
28,False,"{'a': 0.4, 'e': 0.07304601899196485}",25,3,-61.918494592152804,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.06925207756232678}",25,0,-21.88628229374595,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.4, 'e': 0.06574621959237335}",20,0,-0.31585532237773606,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.06249999999999992}",25,5,8.8469220484705,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.4, 'e': 0.05948839976204633}",20,0,-64.37729428116903,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.05668934240362807}",20,0,-23.859286072591853,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.05408328826392641}",20,10,11.37540098696326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.4, 'e': 0.051652892561983445}",25,0,8.221667179664607,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.0493827160493827}",30,0,-81.959001592062,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
37,False,"{'a': 0.4, 'e': 0.04725897920604914}",25,5,-44.12260250234293,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.4, 'e': 0.04526935264825712}",30,11,-47.608177495150294,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
39,False,"{'a': 0.4, 'e': 0.043402777777777776}",25,9,-32.813783537412206,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.041649312786339036}",20,0,2.7290047094587546,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.4, 'e': 0.040000000000000015}",20,0,-29.24667699422781,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.038446751249519434}",20,0,25.457396070611168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.03698224852071008}",35,0,0.10214466860743787,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.03559985760056963}",25,0,6.650910529078627,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.03429355281207136}",20,14,8.352263389847428,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.03305785123966945}",20,0,24.261263384168807,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.03188775510204085}",25,0,31.93923840525516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.03077870113881198}",20,13,10.869720664145834,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.029726516052318706}",25,0,-30.404026307674414,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.02872737719046255}",25,0,-17.176148361799918,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.4, 'e': 0.027777777777777818}",25,0,27.52933725320588,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.026874496103198104}",30,0,1.1993387249060037,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.02601456815816862}",25,10,23.94787836315324,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.025195263290501427}",20,0,22.06360184734059,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.024414062500000045}",30,0,32.71060428341635,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.4, 'e': 0.023668639053254482}",35,0,23.232488328595597,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.022956841138659367}",25,0,17.031563667726964,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.022276676319893118}",25,0,7.646615127647107,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.021626297577854718}",20,0,16.42583440091714,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.021003990758244113}",25,16,10.26645246325172,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.02040816326530617}",30,0,9.649286261628145,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
62,False,"{'a': 0.4, 'e': 0.01983733386232895}",30,0,40.19878839352314,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.01929012345679017}",25,0,-15.13480329409702,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.018765246762994982}",20,10,14.677840723688057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.01826150474799128}",25,6,7.342401989520024,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.017777777777777826}",25,0,28.51880762912228,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.017313019390581764}",25,3,32.62880692810511,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.016866250632484446}",25,0,33.69307635469562,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.016436554898093404}",30,18,0.2771434423951491,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.016023073225444686}",20,0,16.528050028750247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.015625000000000045}",20,0,20.302848877163036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.4, 'e': 0.0152415790275873}",25,0,30.421368445441306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.014872099940511642}",35,0,-2.7655763950297736,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.01451589490492093}",35,0,29.635524741834587,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.014172335600907068}",20,0,3.836866882239485,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.4, 'e': 0.01384083044982703}",25,0,-1.2645210694312237,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.4, 'e': 0.013520822065981652}",25,0,28.86186398368841,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.4, 'e': 0.01321178491214167}",25,0,27.0704782283089,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.012913223140495908}",25,0,-15.197941054604929,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.012624668602449225}",25,0,25.394061245040938,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.012345679012345718}",20,0,-1.3037614752786597,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.4, 'e': 0.012075836251660466}",20,0,25.865826682435426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.011814744801512326}",20,11,17.4404649965753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.011562030292519405}",25,0,30.33899899105522,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.4, 'e': 0.01131733816206432}",20,0,14.174277168557255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.011080332409972336}",25,0,27.779930757617965,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.010850694444444482}",25,13,17.87320477792705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.010628122010840721}",20,0,-28.197324714572463,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.4, 'e': 0.010412328196584792}",30,0,32.94749394344916,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.010203040506070845}",25,3,29.697748747426715,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.010000000000000035}",20,16,4.803586254852176,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
