trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-123.18209646535806,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.9889048329050316}",30,10,-96.82293459354095,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.8, 'e': 0.9779327685429285}",25,0,-205.64346199899512,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.9670824410682997}",25,0,-144.1478119068806,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.8, 'e': 0.956352499790037}",30,0,-161.77976613224254,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.9457416090031758}",25,5,-80.89091035205868,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.9352484478226214}",20,0,-104.45163435134303,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9248717100187196}",30,0,19.30833395600446,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9146101038546527}",20,0,-34.63750707705431,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.904462351925639}",20,0,-24.454503515775745,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.894427190999916}",25,17,-39.88484150127131,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.8845033718614886}",20,0,7.430581301671847,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.8746896591546225}",25,0,-55.4851635480917,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.864984831230061}",20,0,-111.21219256271151,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
