trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",25,0,-170.55512391529794,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.951229424500714}",20,0,-106.02481509236748,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9048374180359595}",30,0,-238.58759314842564,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
4,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,0,-138.7072523192711,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.8187307530779818}",25,0,-3.807766733094605,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.7788007830714049}",20,16,7.0996313389756125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.7408182206817179}",30,0,-173.4691268613529,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.2, 'e': 0.7046880897187134}",20,0,-1.784517253617063,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.6703200460356393}",25,0,-24.714206968201914,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.6376281516217733}",25,0,-82.95491965488019,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.6065306597126334}",20,0,-2.8279583229901677,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.5769498103804866}",20,0,-102.33193792087384,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.5488116360940264}",20,0,5.926843563828044,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.522045776761016}",30,0,-90.54763923026893,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.49658530379140947}",20,0,-121.12334758390601,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.4723665527410147}",20,0,-54.10473045498958,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.44932896411722156}",20,0,-83.98416389959982,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.42741493194872665}",30,0,-39.583674297608574,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.4065696597405991}",25,2,20.45878225474263,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.3867410234545012}",25,9,-32.315238518255,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.36787944117144233}",20,10,-28.850568413617026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.2, 'e': 0.3499377491111553}",20,8,-15.834629278301742,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,0,10.417685623389342,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.31663676937905316}",20,0,-28.384169578457065,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.301194211912202}",30,0,-120.92241135647232,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.2, 'e': 0.2865047968601901}",30,0,-9.276228480110825,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.2725317930340126}",20,0,7.171265605321582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.2592402606458915}",30,23,10.492086366642388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.24659696394160643}",20,0,-30.70583173348899,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.23457028809379762}",20,14,8.26655811787477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.22313016014842982}",25,0,-76.62566926406971,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.21224797382674304}",25,0,-20.041414239003217,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.20189651799465538}",30,0,-5.621036037936122,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.19204990862075408}",35,0,-80.23410425880874,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.1826835240527346}",20,16,6.062395967043768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.17377394345044514}",20,0,-27.53321376951082,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.16529888822158653}",25,0,-20.11332501274261,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.1572371663136276}",20,0,7.985728152981963,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.2, 'e': 0.14956861922263504}",25,0,-30.14033489931178,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.14227407158651353}",20,0,20.768864743533605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.1353352832366127}",25,5,-11.216017053543757,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.12873490358780418}",20,0,-15.182260914201173,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.1224564282529819}",20,6,10.05418175430637,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.11648415777349697}",25,0,23.453875293728252,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.11080315836233387}",25,13,-39.48037179857838,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.2, 'e': 0.10539922456186433}",20,0,14.703085739723926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
