trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,20,-59.61048280826872,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-158.9976682042335,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-145.67289454627172,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-103.7377216532988,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,1,-84.66512449756935,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-46.66285869770231,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-88.18001276049276,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-225.56085833229002,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,7,2.951766910252031,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-22.417215745297252,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-73.43728452358188,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,6,-124.40941866591285,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,5,-97.87050660827552,"{0: 10, 1: 0, 2: 1, 3: 3, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-87.8163635086058,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-2.9243336702048524,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-77.22558053808858,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-0.1964947206782256,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,20,10.855188288251968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.835270211411272}",20,5,-42.361181836646104,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,9,-14.579426821232168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-52.236179970129776,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,9,-22.77713800612418,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,0,5.026662453651767,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-15.518894120722377,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-94.10097941354252,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-15.687451981664239,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,0,-22.08680157085957,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,27.1935605971113,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-79.682653448474,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,0.7317988056977536,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-15.209032011313962,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",30,2,-29.97712805285734,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",30,8,-62.052164272446646,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,14.394762821643486,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,5.697933229164304,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,0,-17.406993309607646,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.697676326071031}",20,10,11.840370584670621,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,0,0.1709215631248142,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,21.313180294785276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,4.456684416309844,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,18.127493855728115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",35,0,-26.48532797790938,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,-13.682301727137013,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-67.96147815158692,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",30,0,-36.74924520759679,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,18,-25.824593846468368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-14.398713592751305,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,27.15965218031256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,23.676631446238233,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,16,8.539423597208462,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",30,0,-32.04059793478719,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-13.849958555304275,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",30,0,-23.107140604639042,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,25.76430471040355,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,7.680540201639793,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,25.638838392088058,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,0,1.9535720989778427,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-16.92830488479635,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.559898366565402}",35,15,23.399889971462272,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,22.080580439253858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,16,7.6004519534759485,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,18.821592799734923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,10,10.379381040350577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,23.08824673999459,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,12,15.645346114636034,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",25,0,25.651712360835432,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,12,14.401856233402954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,0,-35.94676552061821,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,9.137292005594258,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,0,22.17902053624959,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,0,22.72182191981875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",30,0,-5.240612123802673,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",35,24,18.077918305237368,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,12.0968962100611,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,6.746264106355227,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,1,12.386956960724607,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-62.05089231207415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,14,24.08802936962604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,0,20.332376382037037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,-0.41713429683217207,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,24.22871150192809,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-19.295408802770194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,0,18.269614332366356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,7.687376895782478,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,18.248264272103476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,-81.1962598873734,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",30,0,33.480915087244526,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.418951549247639}",30,0,-23.109162328168676,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,0,21.58296737487728,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,12,11.862904018255978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,0,-17.745405497125997,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,5,-19.648515531663627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",35,19,12.615228550912372,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,0,-8.326180640450279,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,0,22.050305940097434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,0,25.47474319114346,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
