trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-231.97352758856513,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.22240276008247,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.10501364595768,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.55228120436358,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.19257891083369,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,8,-45.99959999331911,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,17,-6.4809210214849955,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.57214596086776,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,19,-47.57795761713416,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.04103204481473,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,7,-135.53978282903208,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.25236864339323,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.08357024203286,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.43740109308918,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.12989250999402,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.36531945016645,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.36145069977596,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.25621382067004,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.78952484843664,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.029494879579005,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.29228277094478,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.01018633393892,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-271.12180709548767,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.077245234806284,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.3793972993096,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.9061752797954,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.44042447515372,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.48345166917609,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.786123035942374,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.9513194233593,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
