trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.04524194061364,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-95.10989398942499,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-114.34590728654926,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-120.55548284039702,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-54.07805851158,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-86.68523203151041,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-181.84134575151705,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-154.72606491616094,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-193.2122916217366,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-31.073600290649637,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-163.19174632535928,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-115.13273539050833,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,15.195946510056263,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-1.3683728397025074,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-60.94333984969481,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,7.331436344581534,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,9.833677790617507,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-24.91349142865824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-0.21199618941167975,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-51.0775983212669,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,2,-21.691100321202107,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,3,-134.47344980804235,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 4}",1
3,True,"{'a': 0, 'e': 0}",25,4,-13.25612852981804,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,-38.818308705713484,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,10,25.889157385198413,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,19.601235165608795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,11.185023723750058,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,0.595555098431297,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-78.83872056417678,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,1,-17.372059361743542,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
