trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.003, 'e': 1.0}",30,0,-166.35204993393296,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
2,False,"{'a': 0.003, 'e': 0.997004495503373}",25,0,-139.847362087355,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.003, 'e': 0.9940179640539353}",25,0,-163.33136516149068,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.003, 'e': 0.9910403787728836}",20,0,-196.46019736987805,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.003, 'e': 0.9880717128619305}",20,0,-219.78050085497705,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.003, 'e': 0.9851119396030626}",35,0,-254.00495548454913,"{0: 21, 1: 1, 2: 7, 3: 2, 4: 4}",0
7,False,"{'a': 0.003, 'e': 0.9821610323583008}",20,0,-86.1574807877529,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.003, 'e': 0.9792189645694596}",20,0,-123.06435993190955,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.003, 'e': 0.9762857097579093}",25,0,-132.3617589113427,"{0: 10, 1: 6, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.003, 'e': 0.9733612415243368}",20,0,-153.269523746708,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.003, 'e': 0.9704455335485082}",20,0,-72.799240382029,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.003, 'e': 0.967538559589032}",20,0,-109.16874641562814,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.003, 'e': 0.9646402934831231}",25,2,-76.9490490005845,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 0}",1
14,False,"{'a': 0.003, 'e': 0.9617507091463667}",20,0,-104.81119952393826,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.003, 'e': 0.9588697805724845}",20,0,-123.22449733473607,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.003, 'e': 0.9559974818331}",20,0,-109.29844592052703,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.003, 'e': 0.9531337870775047}",20,0,-140.0458489014495,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.003, 'e': 0.950278670532427}",20,0,-78.61084719798724,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.003, 'e': 0.9474321065017983}",20,0,-136.06670266272087,"{0: 5, 1: 5, 2: 8, 3: 2, 4: 0}",0
20,False,"{'a': 0.003, 'e': 0.9445940693665233}",25,0,-76.2018002238445,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.003, 'e': 0.9417645335842487}",20,8,-63.61436899941942,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.003, 'e': 0.9389434736891332}",25,0,-135.4804838751569,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.003, 'e': 0.9361308642916188}",25,0,-244.0752038280671,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
24,False,"{'a': 0.003, 'e': 0.933326680078202}",20,0,-185.097873682897,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
25,False,"{'a': 0.003, 'e': 0.9305308958112057}",25,0,-216.01289743999297,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
26,False,"{'a': 0.003, 'e': 0.9277434863285529}",20,0,-87.63020035700839,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.003, 'e': 0.9249644265435393}",20,0,-136.56069396632503,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
28,False,"{'a': 0.003, 'e': 0.922193691444608}",25,0,-146.6167873827835,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
29,False,"{'a': 0.003, 'e': 0.9194312560951247}",25,0,-181.58603007211244,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
30,False,"{'a': 0.003, 'e': 0.9166770956331523}",25,0,-178.02340342748568,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
31,False,"{'a': 0.003, 'e': 0.9139311852712282}",30,19,-13.194225767962793,"{0: 7, 1: 4, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.003, 'e': 0.9111935002961405}",20,0,-64.25354551044178,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.003, 'e': 0.9084640160687062}",20,0,-130.5429690461111,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.003, 'e': 0.9057427080235485}",20,0,-68.25138411763902,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.003, 'e': 0.9030295516688768}",20,0,-74.85522907587301,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.003, 'e': 0.9003245225862656}",25,0,-143.27687941325263,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.003, 'e': 0.8976275964304349}",20,0,-141.11359843963783,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
38,False,"{'a': 0.003, 'e': 0.894938748929031}",20,0,-85.25632857683885,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
39,False,"{'a': 0.003, 'e': 0.8922579558824083}",20,0,-97.78341778680098,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.003, 'e': 0.8895851931634113}",30,0,-60.173728648046286,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.003, 'e': 0.8869204367171575}",20,0,-179.74930650602602,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
42,False,"{'a': 0.003, 'e': 0.8842636625608209}",30,0,-143.86644331715402,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.003, 'e': 0.8816148467834161}",20,14,0.9211921716542946,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.003, 'e': 0.8789739655455832}",25,6,-124.5910049033112,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 2}",1
45,False,"{'a': 0.003, 'e': 0.8763409950793732}",20,0,-2.697554732766869,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.003, 'e': 0.8737159116880344}",20,0,-46.45119379865357,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.003, 'e': 0.8710986917457983}",20,16,6.495274592217638,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.003, 'e': 0.8684893116976679}",25,0,-43.380262159729625,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
49,False,"{'a': 0.003, 'e': 0.865887748059205}",20,0,-96.56448146583246,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.003, 'e': 0.8632939774163194}",20,0,-110.4304568770357,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
51,False,"{'a': 0.003, 'e': 0.8607079764250578}",20,0,-73.27018077823809,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.003, 'e': 0.8581297218113938}",20,0,-80.50657493969058,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.003, 'e': 0.8555591903710185}",30,0,-92.11146610167472,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.003, 'e': 0.8529963589691315}",25,0,-89.78014756787604,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.003, 'e': 0.850441204540233}",25,0,-108.59972621074914,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.003, 'e': 0.8478937040879159}",25,0,-105.9067653272522,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.003, 'e': 0.8453538346846587}",20,1,-85.62387672508439,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
58,False,"{'a': 0.003, 'e': 0.8428215734716199}",20,0,1.3511858540498582,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.003, 'e': 0.8402968976584314}",30,7,-121.13377109992807,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 2}",1
60,False,"{'a': 0.003, 'e': 0.8377797845229938}",30,0,-53.03647729434287,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
61,False,"{'a': 0.003, 'e': 0.835270211411272}",20,0,-116.41765786922514,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.003, 'e': 0.832768155737091}",20,0,-82.9545337732437,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.003, 'e': 0.8302735949819326}",20,0,-41.56639098928741,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.003, 'e': 0.8277865066947336}",20,0,-118.64115205054819,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.003, 'e': 0.8253068684916823}",35,0,-145.37692137563465,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.003, 'e': 0.8228346580560184}",25,0,-87.81586318838372,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
