trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-95.77745138960493,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9779327685429285}",20,0,-38.30711116651382,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.956352499790037}",25,0,-152.87588951336025,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.9352484478226213}",20,0,-43.30160172778302,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.9146101038546527}",20,0,-167.96812076269038,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.8944271909999159}",30,6,-54.79726023813014,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0.8746896591546225}",20,0,-283.24268879347915,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 6}",0
8,False,"{'a': 0.8, 'e': 0.8553876799929505}",20,0,-79.47452090375636,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.8365116420730186}",20,10,-78.49501044167542,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.8, 'e': 0.8180521460508584}",30,0,-101.51399759855352,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.8}",25,14,6.035366464396386,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.7823462148343429}",25,0,-116.9236095651036,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.7650819998320296}",30,6,-53.32779691008117,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.8, 'e': 0.7481987582580971}",30,6,-54.67047230896879,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
15,False,"{'a': 0.8, 'e': 0.7316880830837221}",20,0,-41.66860573778893,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.7155417527999327}",20,2,-103.07135525922267,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.8, 'e': 0.699751727323698}",35,23,-34.989665197857846,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
