trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,0,-163.2322437929191,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.9999875000260416}",25,0,-129.27400433894329,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-53.946629656030915,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9998875021093592}",25,0,-177.666840332256,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.005, 'e': 0.9998000066665778}",25,0,-54.17176663149211,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9996875162757026}",30,0,-153.74170614823544,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.9995500337489875}",25,0,-104.21595655290443,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9993875625234886}",25,0,-49.56582985739342,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.9992001066609779}",20,0,-163.2830345611186,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9989876708478425}",20,4,-72.82021016211507,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.005, 'e': 0.9987502603949663}",20,0,-158.6172783887327,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.005, 'e': 0.9984878812375985}",20,0,-61.294084925007525,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9982005399352042}",30,0,-155.75640469486652,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9978882436713011}",20,0,-39.54729643307956,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.005, 'e': 0.9975510002532796}",20,0,-128.864080259932,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9971888181122075}",25,0,-190.5854979123323,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-133.53991682771527,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.005, 'e': 0.9963896745022904}",20,0,-103.22009606005795,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 0.005, 'e': 0.9959527330119943}",30,0,-213.35247226999616,"{0: 13, 1: 6, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9954908927552453}",30,0,-186.7077306735035,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
21,False,"{'a': 0.005, 'e': 0.9950041652780258}",20,0,-144.92885825675094,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.005, 'e': 0.9944925627484974}",25,8,-94.13681274983315,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 2}",1
23,False,"{'a': 0.005, 'e': 0.9939560979566968}",20,0,-154.9127524946486,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.005, 'e': 0.9933947843142158}",30,0,-65.90127096492368,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.005, 'e': 0.9928086358538663}",25,0,-78.6497602169203,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.005, 'e': 0.992197667229329}",20,0,-95.10516058270082,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.9915618937147881}",20,8,-23.98075692670331,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.005, 'e': 0.9909013312045479}",20,2,-114.85631777228402,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 0}",1
29,False,"{'a': 0.005, 'e': 0.9902159962126371}",20,0,-77.27557649129507,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.005, 'e': 0.9895059058723947}",25,0,-85.65570688051646,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
31,False,"{'a': 0.005, 'e': 0.9887710779360422}",20,15,8.396094909462978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.005, 'e': 0.9880115307742399}",20,0,-97.13306963680397,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.005, 'e': 0.9872272833756269}",30,0,-150.04499768769406,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
34,False,"{'a': 0.005, 'e': 0.9864183553463477}",25,0,-88.72964034561798,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.9855847669095608}",25,0,-161.80519034977263,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
36,False,"{'a': 0.005, 'e': 0.9847265389049334}",25,0,-143.27775043798758,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
37,False,"{'a': 0.005, 'e': 0.9838436927881214}",25,0,-109.56908581358131,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.005, 'e': 0.9829362506302315}",30,0,-49.25254653898534,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.005, 'e': 0.9820042351172703}",35,17,-30.510657014074187,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.005, 'e': 0.9810476695495772}",20,0,-106.66121741511822,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.005, 'e': 0.9800665778412416}",20,0,-28.35985924535575,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
42,False,"{'a': 0.005, 'e': 0.9790609845195051}",30,0,-124.20817761347477,"{0: 19, 1: 1, 2: 6, 3: 4, 4: 0}",0
43,False,"{'a': 0.005, 'e': 0.9780309147241483}",20,12,-14.737520912288286,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.005, 'e': 0.9769763942068623}",20,0,-73.03431964439962,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.9758974493306055}",35,0,-170.11141632442224,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
46,False,"{'a': 0.005, 'e': 0.9747941070689433}",20,0,-132.56015371722822,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.005, 'e': 0.9736663950053749}",25,0,-133.48393334255806,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.005, 'e': 0.972514341332643}",20,0,-176.039340839045,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
49,False,"{'a': 0.005, 'e': 0.9713379748520296}",20,0,-131.82123850163248,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.005, 'e': 0.9701373249726354}",20,0,-112.54986154933098,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.005, 'e': 0.9689124217106447}",20,0,-154.11107291288508,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.9676632956885756}",25,0,-217.06504511212944,"{0: 9, 1: 5, 2: 8, 3: 0, 4: 3}",0
53,False,"{'a': 0.005, 'e': 0.9663899781345132}",20,0,-160.8301658594407,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.005, 'e': 0.9650925008813303}",20,0,-143.66172896676105,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.005, 'e': 0.9637708963658905}",20,0,-89.15833253909072,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.005, 'e': 0.962425197628238}",25,0,-145.86876937669936,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.005, 'e': 0.9610554383107709}",25,11,-87.51607018125556,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
58,False,"{'a': 0.005, 'e': 0.9596616526574011}",25,0,-97.5946977629335,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.005, 'e': 0.9582438755126972}",25,0,-143.47020961575632,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.005, 'e': 0.9568021423210139}",30,0,-195.36545264815686,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.955336489125606}",20,0,-54.04790092315113,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.005, 'e': 0.9538469525677271}",20,0,-107.37299000405211,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
63,False,"{'a': 0.005, 'e': 0.9523335698857134}",20,0,-104.42433993824764,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.005, 'e': 0.9507963789140532}",25,0,-50.72675733831295,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.005, 'e': 0.9492354180824408}",35,0,-141.7365067618276,"{0: 20, 1: 6, 2: 4, 3: 5, 4: 0}",0
66,False,"{'a': 0.005, 'e': 0.9476507264148157}",20,0,-108.48880482217575,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.005, 'e': 0.946042343528387}",25,0,-206.6976484987733,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
68,False,"{'a': 0.005, 'e': 0.944410309632643}",20,0,-169.05584113718825,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
69,False,"{'a': 0.005, 'e': 0.9427546655283462}",25,0,-123.07522892786018,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.941075452606513}",20,0,-99.47147055173338,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.9393727128473789}",20,0,-159.96206379981373,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
72,False,"{'a': 0.005, 'e': 0.9376464888193493}",20,0,-98.74297422793046,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.9358968236779348}",20,0,-172.49635806763632,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
74,False,"{'a': 0.005, 'e': 0.9341237611646731}",25,0,-118.06921425270423,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.005, 'e': 0.9323273456060345}",20,0,-83.76454485236366,"{0: 14, 1: 0, 2: 2, 3: 4, 4: 0}",0
76,False,"{'a': 0.005, 'e': 0.9305076219123143}",25,0,-193.313501001462,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
77,False,"{'a': 0.005, 'e': 0.9286646355765102}",20,0,-62.43817164066819,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.005, 'e': 0.9267984326731847}",20,16,5.160671804563838,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.005, 'e': 0.9249090598573131}",25,0,-78.03373107615788,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.005, 'e': 0.9229965643631173}",20,0,-52.176868525863185,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.005, 'e': 0.9210609940028851}",25,0,-69.08126408584612,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.005, 'e': 0.9191023971657747}",20,0,-56.37522561537498,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
83,False,"{'a': 0.005, 'e': 0.9171208228166051}",25,0,-134.15257941341542,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.005, 'e': 0.9151163204946318}",25,0,-118.67977024496152,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
85,False,"{'a': 0.005, 'e': 0.9130889403123083}",30,4,-39.14948964528389,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.005, 'e': 0.9110387329540337}",20,0,-129.4183608071635,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.005, 'e': 0.9089657496748851}",25,0,-125.88898159541765,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
88,False,"{'a': 0.005, 'e': 0.9068700422993367}",20,0,-53.32087485439843,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.005, 'e': 0.9047516632199634}",20,0,-60.66026438663504,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
90,False,"{'a': 0.005, 'e': 0.9026106653961321}",25,0,-64.211262177225,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.005, 'e': 0.9004471023526769}",25,0,-97.58268110959912,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
92,False,"{'a': 0.005, 'e': 0.8982610281785611}",20,0,-107.51138415359691,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.8960524975255252}",20,0,-50.8068378456855,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.005, 'e': 0.8938215656067205}",30,0,-209.104377677271,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
95,False,"{'a': 0.005, 'e': 0.891568288195329}",20,0,-35.607819492878676,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.005, 'e': 0.8892927216231682}",20,0,-4.064685796135061,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.8869949227792842}",20,0,-61.173306656425645,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.005, 'e': 0.8846749491085283}",20,0,-169.62706916152985,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
99,False,"{'a': 0.005, 'e': 0.8823328586101215}",20,0,-98.66448998252832,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
100,False,"{'a': 0.005, 'e': 0.8799687098362042}",20,0,-129.9423484509304,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
101,False,"{'a': 0.005, 'e': 0.8775825618903728}",25,0,-95.34103239651547,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
102,False,"{'a': 0.005, 'e': 0.8751744744262013}",30,15,-22.11794481855003,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.005, 'e': 0.8727445076457513}",20,0,-119.42769214108893,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
104,False,"{'a': 0.005, 'e': 0.8702927222980654}",20,0,-57.00463187640773,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.005, 'e': 0.8678191796776499}",25,0,-85.3968184316018,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.005, 'e': 0.8653239416229412}",20,3,-71.78632794873445,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
107,False,"{'a': 0.005, 'e': 0.862807070514761}",30,0,-68.67830108889149,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.005, 'e': 0.8602686292747557}",25,13,-8.283122074642357,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.005, 'e': 0.8577086813638242}",20,0,-83.37450447676223,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.005, 'e': 0.8551272907805307}",20,0,-41.53310417482646,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.005, 'e': 0.8525245220595057}",20,0,-40.72249967015697,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
112,False,"{'a': 0.005, 'e': 0.8499004402698315}",30,0,-132.33937389893615,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.005, 'e': 0.8472551110134161}",30,15,-36.00361947465065,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.005, 'e': 0.8445886004233532}",25,0,-41.29243010916156,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.005, 'e': 0.8419009751622687}",20,15,0.7072787047203533,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.005, 'e': 0.8391923024206541}",25,2,-145.54223659361276,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 3}",1
117,False,"{'a': 0.005, 'e': 0.8364626499151869}",35,0,-128.72884155075948,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
118,False,"{'a': 0.005, 'e': 0.8337120858870376}",25,0,-74.98700771690332,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.005, 'e': 0.8309406791001636}",25,0,-112.19080098130075,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 3}",0
