trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,1,-234.25119687012145,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 3}",1
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,15,-41.691348610328205,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-102.15947635673061,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-272.4045568954733,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 5}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-118.31972484962105,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,5.501073296953316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,5,-189.01929474698278,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",1
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",35,0,-80.70373761102277,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-58.19215647768092,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,4,-53.09341748922116,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-47.80325783164598,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-93.49914733274883,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",35,0,-76.08399188249697,"{0: 31, 1: 1, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,2,18.762246983579544,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,8.83906738530244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-14.68552021250872,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,9.079274486636352,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-64.59301554332482,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-16.38907437243873,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-126.5876516766784,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-45.8351075508717,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,16,14.537717772114583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,28.67707255750519,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,15,13.443129927020305,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.9713379748520296}",25,0,27.17170623114353,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-13.907085295470125,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-84.08518157626743,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-15.572531036278733,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,1,16.4802558242067,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-59.690168162832656,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,19.066810365450532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,15,-33.25619723394865,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,15,21.459549380842134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-5.797752041721468,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,0.13215689634137184,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,20.77642370317898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,2.468321866954031,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,2,-4.662506673450482,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,12,11.085574370292495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
